num,choice,person,content,kind,choice1,choice2,choice3
1,n,herbGranpaA,새롭게 가게를 열었구만. 반갑네.,granpa,,,
2,n,herbGranpaA,"마침 다치는 사람이 많은 동넨데, 물약가게가 생기니 좋구먼.",granpa,,,
3,y,herbGranpaA,가게를 연건 이번이 처음인가?,granpa,"네, 맞아요!",그걸 알아서 뭐하게요;,none
4,n,herbGranpaA,흠! ,granpa,,,
5,n,herbGranpaA,처음인 너를 위해서 하는 말이니 새겨듣거라.,granpa,,,
6,n,herbGranpaA,처음이니 가게 운영이 많이 어려울 거야.,granpa,,,
7,n,herbGranpaA,몇 가지 알아야 할 점을 알려주겠네.,granpa,,,
8,n,herbGranpaA,"약초꾼들을 항상 조심하고, 그들이 파는 약초를 눈여겨 봐야 해.",granpa,,,
9,n,herbGranpaA,"진짜를 팔 수도 있고, 가짜 약초르 팔 수도 있기 때문이야.",granpa,,,
10,n,herbGranpaA,음? 어떻게 진짜 약초인지 아냐고?,granpa,,,
11,n,herbGranpaA,아마 전임자가 두고 간 약초 노트가 있을거야. 그걸 참고해.,granpa,,,
12,n,herbGranpaA,지금은 아마 첫 장 밖에 없을거야. 그것도 중요한 지식재산이라 전임자가 다 뜯어갔을걸.,granpa,,,
13,n,herbGranpaA,그래도 걱정 말게. 새로운 약초 종류가 생길때마다 내가 와서 대략적인 정보를 줄테니..그 정보로 자네만의 약초노트를 추가하게나.,granpa,,,
14,n,herbGranpaA,이 지역은 이슬산딸기가 주 생산 약초야.,granpa,,,
15,n,herbGranpaA,"남녀노소 누구나 좋아하는 약초고, 사람을 치료하는데 많이 쓰여.",granpa,,,
16,n,herbGranpaA,"약초노트의 약초 설명을 자세히 잘 읽고, 그걸 토대로 손님이 요구하는 물약을 만들어봐.",granpa,,,
17,n,herbGranpaA,"약초마다 질긴 정도, 수분 함량에 따라 제조 시간, 화력도 달라져야 한다네.",granpa,,,
18,n,herbGranpaA,"가짜 약초로 만들거나,  원하는 물약을 만들어 주지 않거나, 제조 방법이 잘못됐거나 하면...",granpa,,,
19,n,herbGranpaA,손님들이 싫어할테니 잘 만들어 보게나.,granpa,,,
20,n,herbGranpaA,그래도 이 정도의 실수는 조금씩 양해해 주지만..아예 엉뚱한 물약을 줘버리면.,granpa,,,
21,n,herbGranpaA,"그건 ""물약사""로서 용납되지 않는 행동이니 조심하게나.",granpa,,,
22,n,herbGranpaA,"그럼, 무운을 비네!",granpa,,,
23,n,herbGranpaB,안녕하신가!,granpa,진짜요?,우오ㅏ.,none
24,n,herbGranpaB,오랜만이네. 가게가 잘 운영되고 있는 것 같은데..,granpa,,,
25,n,herbGranpaB,"아, 내가 온 이유는.. 선물이 있어서 말이네.",granpa,,,
26,n,herbGranpaB,바로 정령보석 가루야.,granpa,,,
27,n,herbGranpaB,이 정령보석 가루는 아쿠아마린으로 만들어졌어.,granpa,,,
28,n,herbGranpaB,이 가루들은 같은 속성을 가진 약초의 효능을 크게 끌어올려줘.,granpa,,,
29,n,herbGranpaB,"예를 들어, 물 속성인 이슬산딸기에 아쿠아마린 가루를 넣으면…",granpa,,,
30,n,herbGranpaB,어떻게 될~까! 직접 만들어보게나!,granpa,,,
31,n,herbGranpaB,내가 자네에게 이 가루를 선물해준다고 동네방네 다 소문을 냈어.,granpa,,,
32,n,herbGranpaB,그러니 이제 치유물약 말고 새로운 물약을 요구하는 손님들도 올게야. 잘 해보게나!,granpa,,,
33,n,goArmy1,흠.,army,,,
34,n,goArmy1,"이 가게 주인장, 맞습니까?",army,,,
35,n,goArmy1,육군 제 21집단군 대령 정민수라고 합니다.,army,,,
36,y,goArmy1,가게를 연 이곳은 근처에 징집을 거부한 채로 모여있는 반역 마법사들이 모여있는 곳으로 예상됩니다.,army,세상에!!!!,진짭니까?,그렇군요.
37,,goArmy1,"그들은 다른 사람들이 국가를 위해서 진 의무를 거부하고, 각종 범죄를 저지르는 무법집단입니다.",army,,,
38,n,goArmy1,"따라서, 수상한 인물이나  군 증명서를 가지지 않은 마법사, 마녀를 보았다면.. 저에게 말씀해주십쇼.",army,,,
39,n,goArmy1,"붉은색의 태양 문양을 늘 지니고 다닌다 하니, 유념하십시오.",army,,,
40,y,goArmy1,협조를 부탁드립니다. ,army,싫어요!,좋아요.,none
41,n,goArmy1-1,뭐?,army,,,
42,n,goArmy1-1,그런 언행은 굉장히 부적절하군.,army,,,
43,n,goArmy1-1,좋게 말할때 협조하는게 좋을거야. 이건 경고야.,army,,,
44,n,goArmy1-2,"만약 거짓을 말하거나, 반역군에 협력하신다면…",army,,,
45,n,goArmy1-2,저를 다른 곳에서 보게 될 겁니다.,army,,,
46,n,goArmy1-2,그럼 이만.,army,,,
